[header]
width=20
height=20
tilewidth=16
tileheight=16
orientation=orthogonal
background_color=0,0,0,255

[tilesets]
tileset=../../CS3113 Intro to Game Programming/assets/sprite_sheets/arne_sprites.png,16,16,0,0
tileset=../../CS3113 Intro to Game Programming/assets/sprite_sheets/arne_sprites.png,16,16,0,0

[layer]
type=Background
data=
0,0,0,0,0,0,114,115,0,0,0,97,98,0,0,0,0,0,0,0,
0,0,0,97,98,0,0,0,0,0,0,0,0,0,0,116,0,97,98,0,
0,0,0,0,0,0,0,0,0,0,114,115,0,0,0,0,0,0,0,0,
0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,35,34,35,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,33,35,34,33,35,33,19,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,36,36,36,34,0,
0,128,92,93,90,91,92,93,90,91,92,93,90,0,33,36,33,36,36,34,
0,107,108,109,106,107,108,109,106,107,108,109,106,107,0,33,36,33,36,36,
96,123,124,125,122,123,124,125,122,123,124,125,122,123,94,0,0,0,0,36,
0,0,0,0,0,0,108,109,107,123,110,110,123,107,92,93,90,91,92,0,
34,34,35,33,34,36,0,125,109,110,108,109,106,107,0,109,0,107,108,0,
34,35,36,35,35,35,4,0,107,122,124,125,122,0,0,0,0,0,124,0,
34,35,36,34,34,36,4,0,0,90,107,107,0,0,92,0,90,0,0,33,
34,36,33,36,34,36,0,0,107,106,108,122,106,107,108,109,106,107,0,36,
36,33,34,36,34,0,109,106,107,122,124,125,122,123,124,125,122,123,0,33,
34,36,34,36,36,0,107,123,123,107,122,122,107,123,92,123,107,0,5,33,
34,34,34,36,0,109,106,107,106,109,108,109,106,107,108,107,0,5,5,36,
36,34,36,36,36,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36

