[header]
width=12
height=12
tilewidth=32
tileheight=32
orientation=orthogonal
background_color=0,0,0,255

[tilesets]
tileset=font1.png,32,32,0,0

[layer]
type=TEXT
data=
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,69,86,79,72,70,80,79,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,68,83,66,88,77,70,83,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,81,115,102,116,116,0,0,0,0,
0,0,0,0,84,113,98,100,102,0,0,0,
0,0,0,0,0,67,98,115,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0

